RE,constraint,gen_bus,carrier_names,pExp_sum
45%,Unit Commitment,33,offwind,2.295
45%,Unit Commitment,24,offwind,1.819
45%,Unit Commitment,14,offwind,0.068
45%,Unit Commitment,18,solar,4.62
45%,Unit Commitment,4,offwind,5.355
45%,Unit Commitment,22,solar,53.396
45%,Unit Commitment,29,offwind,9.299
45%,Unit Commitment,10,offwind,0.187
45%,Unit Commitment,8,offwind,16.847
45%,Unit Commitment,31,offwind,11.543
45%,Unit Commitment,13,solar,0.504
45%,Unit Commitment,17,offwind,1.326
45%,Unit Commitment,23,OCGT,0.224
45%,Unit Commitment,16,offwind,12.92
45%,Unit Commitment,23,solar,3.276
45%,Unit Commitment,12,solar,22.176
45%,System Inertia,33,offwind,2.295
45%,System Inertia,24,offwind,1.836
45%,System Inertia,14,offwind,0.034
45%,System Inertia,18,solar,4.62
45%,System Inertia,4,offwind,5.355
45%,System Inertia,22,solar,53.396
45%,System Inertia,29,offwind,9.299
45%,System Inertia,10,offwind,0.187
45%,System Inertia,8,offwind,16.847
45%,System Inertia,31,offwind,11.526
45%,System Inertia,13,solar,0.504
45%,System Inertia,11,CCGT,0.224
45%,System Inertia,17,offwind,1.343
45%,System Inertia,23,OCGT,0.224
45%,System Inertia,16,offwind,12.886
45%,System Inertia,23,solar,3.276
45%,System Inertia,12,solar,22.176
45%,SD Weighted Load,33,offwind,2.261
45%,SD Weighted Load,24,offwind,1.802
45%,SD Weighted Load,14,offwind,0.034
45%,SD Weighted Load,4,OCGT,0.224
45%,SD Weighted Load,18,solar,4.48
45%,SD Weighted Load,4,offwind,5.389
45%,SD Weighted Load,22,solar,53.424
45%,SD Weighted Load,29,offwind,9.248
45%,SD Weighted Load,10,offwind,0.204
45%,SD Weighted Load,8,offwind,16.932
45%,SD Weighted Load,31,offwind,11.509
45%,SD Weighted Load,28,OCGT,0.224
45%,SD Weighted Load,13,solar,0.532
45%,SD Weighted Load,17,offwind,1.326
45%,SD Weighted Load,23,OCGT,0.224
45%,SD Weighted Load,16,offwind,12.903
45%,SD Weighted Load,23,solar,3.276
45%,SD Weighted Load,12,solar,22.204
45%,SD Weighted Load,11,OCGT,0.224
45%,Region Islanding 50%,33,offwind,1.241
45%,Region Islanding 50%,4,solar,2.352
45%,Region Islanding 50%,21,offwind,0.833
45%,Region Islanding 50%,26,offwind,0.51
45%,Region Islanding 50%,24,solar,0.28
45%,Region Islanding 50%,35,offwind,5.933
45%,Region Islanding 50%,24,offwind,0.952
45%,Region Islanding 50%,2,solar,5.124
45%,Region Islanding 50%,18,offwind,1.037
45%,Region Islanding 50%,14,offwind,4.845
45%,Region Islanding 50%,4,OCGT,1.568
45%,Region Islanding 50%,18,solar,2.632
45%,Region Islanding 50%,4,offwind,4.08
45%,Region Islanding 50%,20,OCGT,0.224
45%,Region Islanding 50%,25,solar,1.288
45%,Region Islanding 50%,5,offwind,0.51
45%,Region Islanding 50%,11,solar,0.728
45%,Region Islanding 50%,32,solar,11.088
45%,Region Islanding 50%,28,CCGT,0.896
45%,Region Islanding 50%,22,solar,58.268
45%,Region Islanding 50%,29,offwind,4.811
45%,Region Islanding 50%,15,solar,10.892
45%,Region Islanding 50%,10,offwind,0.476
45%,Region Islanding 50%,8,offwind,17.918
45%,Region Islanding 50%,31,offwind,9.452
45%,Region Islanding 50%,28,OCGT,0.224
45%,Region Islanding 50%,13,solar,1.036
45%,Region Islanding 50%,11,CCGT,0.448
45%,Region Islanding 50%,34,OCGT,1.568
45%,Region Islanding 50%,10,OCGT,0.448
45%,Region Islanding 50%,5,solar,2.016
45%,Region Islanding 50%,23,OCGT,0.896
45%,Region Islanding 50%,16,offwind,12.172
45%,Region Islanding 50%,23,solar,2.1
45%,Region Islanding 50%,11,offwind,0.731
45%,Region Islanding 50%,12,solar,29.288
45%,Region Islanding 50%,10,solar,0.84
45%,Region Islanding 50%,28,solar,1.456
45%,Region Islanding 50%,22,offwind,0.034
45%,Region Islanding 50%,11,OCGT,0.224
45%,Region Islanding 50%,20,solar,5.208
55%,Unit Commitment,33,offwind,5.236
